sector_center_rad,sector_center_deg,heliostat_count,count_share,baseline_sector_count,baseline_sector_share,layout_id,label,delta_sector_count,delta_sector_share_pctpt
-0.9599310885968813,-55.0,370,0.031053294167016365,367,0.030801510700797313,deform_1387,L_rob,3,0.025178346621905143
-0.7853981633974483,-45.0,382,0.032060428031892574,378,0.0317247167436005,deform_1387,L_rob,4,0.03357112882920732
-0.6108652381980153,-35.0,370,0.031053294167016365,395,0.0331514897188418,deform_1387,L_rob,-25,-0.2098195551825433
-0.43633231299858233,-24.999999999999996,374,0.031389005455308434,383,0.03214435585396559,deform_1387,L_rob,-9,-0.07553503986571578
-0.2617993877991496,-15.000000000000009,368,0.03088543852287033,395,0.0331514897188418,deform_1387,L_rob,-27,-0.22660511959714663
-0.0872664625997166,-5.000000000000007,364,0.030549727234578262,372,0.0312211498111624,deform_1387,L_rob,-8,-0.06714225765841395
0.08726646259971638,4.999999999999995,378,0.0317247167436005,409,0.03432647922786404,deform_1387,L_rob,-31,-0.26017624842635395
0.26179938779914935,14.999999999999996,366,0.0307175828787243,395,0.0331514897188418,deform_1387,L_rob,-29,-0.24339068401174996
0.43633231299858233,24.999999999999996,362,0.03038187159043223,383,0.03214435585396559,deform_1387,L_rob,-21,-0.17624842635333635
0.6108652381980153,35.0,375,0.03147293327738145,392,0.03289970625262274,deform_1387,L_rob,-17,-0.14267729752412903
0.7853981633974483,45.0,377,0.03164078892152749,376,0.03155686109945447,deform_1387,L_rob,1,0.00839278220730183
0.959931088596881,54.999999999999986,374,0.031389005455308434,366,0.0307175828787243,deform_1387,L_rob,8,0.0671422576584136
1.1344640137963138,64.99999999999997,374,0.031389005455308434,350,0.029374737725556023,deform_1387,L_rob,24,0.20142677297524114
1.308996938995747,74.99999999999999,378,0.0317247167436005,346,0.029039026437263953,deform_1387,L_rob,32,0.2685690306336547
1.4835298641951802,85.0,353,0.029626521191775074,317,0.026605119597146454,deform_1387,L_rob,36,0.30214015946286205
1.658062789394613,95.0,344,0.02887117079311792,328,0.027528325639949645,deform_1387,L_rob,16,0.13428451531682756
1.8325957145940457,104.99999999999999,333,0.02794796475031473,303,0.02543013008812421,deform_1387,L_rob,30,0.2517834662190518
2.007128639793479,115.0,308,0.0258497691984893,305,0.025597985732270248,deform_1387,L_rob,3,0.025178346621905143
2.181661564992912,125.00000000000001,300,0.02517834662190516,289,0.024255140579101973,deform_1387,L_rob,11,0.09232060428031874
2.356194490192345,135.0,284,0.023835501468736885,291,0.024422996223248006,deform_1387,L_rob,-7,-0.058749475451112115
2.5307274153917776,145.0,275,0.02308015107007973,285,0.023919429290809903,deform_1387,L_rob,-10,-0.08392782207301726
2.7052603405912103,154.99999999999997,272,0.02282836760386068,283,0.02375157364666387,deform_1387,L_rob,-11,-0.09232060428031909
2.8797932657906435,165.0,257,0.021569450272765422,278,0.023331934536298782,deform_1387,L_rob,-21,-0.17624842635333599
3.0543261909900767,175.0,241,0.020226605119597146,242,0.020310532941670165,deform_1387,L_rob,-1,-0.00839278220730183
-3.0543261909900767,-175.0,279,0.0234158623583718,279,0.0234158623583718,ctrl_radial_expand_015,C_rad+,0,0.0
-2.879793265790644,-165.00000000000003,282,0.02366764582459085,282,0.02366764582459085,ctrl_radial_expand_015,C_rad+,0,0.0
-2.705260340591211,-155.0,284,0.023835501468736885,284,0.023835501468736885,ctrl_radial_expand_015,C_rad+,0,0.0
-2.5307274153917776,-145.0,287,0.02408728493495594,287,0.02408728493495594,ctrl_radial_expand_015,C_rad+,0,0.0
-2.356194490192345,-135.0,294,0.024674779689467057,294,0.024674779689467057,ctrl_radial_expand_015,C_rad+,0,0.0
-2.181661564992912,-125.00000000000001,293,0.024590851867394042,293,0.024590851867394042,ctrl_radial_expand_015,C_rad+,0,0.0
