candidate_id,heliostat_count,annual_energy_proxy_gwh,energy_ratio_vs_baseline,capex_proxy_musd,lcoe_proxy_cent_kwh,flux_risk_index,min_neighbor_m,terrain_elevation_range_m,terrain_slope_p95_pct,terrain_slope_mean_pct,layout_quality_score,sector_coverage_ratio,annular_coverage_ratio,ellipse_axis_ratio,extent_x_ratio,extent_y_ratio,is_publishable_geometry,x_scale,y_scale,radial_scale,radial_wave,twist,az_wave,petal_amp,petal_order,petal_phase,petal_twist,north_bias
deform_0903,11915,447.445778207517,0.9983113045352346,843.6728490765164,15.266707210439295,1.0093628834915744,17.649235529519586,36.28202691290903,1.2762406336842513,1.0082878997865143,1.0,1.0,1.0,1.0041328372197196,1.0,1.0,1,1.0299126090221118,1.028193741643105,0.00038008813073548905,-0.0071296127391926485,0.006801355813267081,-0.011114862021245498,0.010240292296202127,8.0,-0.28902298957548256,-0.003040542324819706,-0.0047309552711456435
deform_0904,11915,448.3413933202051,1.0003095414950087,843.621568,15.235284047399086,1.004322383568882,16.433105870619244,34.46568359040339,1.2784995084288246,1.0091582844669877,0.956717146813448,1.0,1.0,1.0406492075527167,0.956717146813448,0.9894123960572578,1,0.9684920527495411,1.0132195832045876,-0.012397368446598389,-0.0066013531909841945,0.023842930936777258,9.199840781402846e-05,-0.011114497071469052,4.0,-1.3601360090420707,-0.0046948096358417485,-0.011037566751164365
deform_0905,11915,447.6378061864011,0.9987397446087448,843.6651992991567,15.26001972032055,0.9981659626666339,17.24877751589412,36.09078247891716,1.276202409267597,1.0078296886091682,1.0,1.0,1.0,1.0264967451350016,1.0,1.0,1,1.0014453857606391,1.0208682548580585,0.005109242941569659,3.368585190727594e-05,-0.028308609979311394,-0.011383717137013477,0.004802608613919738,6.0,-1.7644994047854368,0.008254415297479223,0.0006923525143437866
deform_0906,11915,447.7670679605445,0.9990281448946713,843.6542702988547,15.255416820834217,1.0037821595880894,17.11551439728598,35.81755747136731,1.2776130013270215,1.0089445363843257,1.0,1.0,1.0,1.0113670806613957,1.0,1.0,1,0.9913183748201493,1.0269612029994883,0.0024209123409702042,-0.01781991447882117,0.01589429038041805,0.0084854750878613,-0.01398614023911156,6.0,1.2366545440618557,0.0009489518965965799,0.006894371937291491
deform_0907,11915,448.2625590089113,1.0001336516152,843.621568,15.237963421576348,0.9880004056048128,17.00891578587356,34.90521915865361,1.2772966083627817,1.0099443514580018,0.9834440609964217,1.0,1.0,1.0146746923189276,1.0,0.9834440609964217,1,0.9967273879802213,0.995548657367683,-0.003502935530627676,-0.010771488597657523,-0.017596198501822768,0.009036529962836295,0.0,0.0,0.0,0.0,0.0029296886029099786
deform_0908,11915,448.22960227805265,1.000060120746033,843.6337478959493,15.239303831163872,0.9969244142434622,16.927916291589536,35.304497398731655,1.2768398647211743,1.0093613307389218,0.9800368279331854,1.0,1.0,1.0238409554485135,0.9800368279331854,0.9971587987351049,1,0.968707669004739,0.9750889169409337,0.01990482203151598,0.007127475800913927,-0.022711176066533986,-0.011010970577359634,0.02234173804490153,4.0,-0.5404776676933287,0.008842274228390633,0.008958983021376047
deform_0909,11915,448.08377438428636,0.9997347592341942,843.6358052201788,15.244300604950443,0.99130627701873,17.1907659502091,35.35593050446846,1.2762049253477017,1.0092644178485388,0.9936164701620206,1.0,1.0,1.026482752984401,0.9936164701620206,1.0,1,0.9879507777439208,0.9899309276598243,0.011920692024654678,0.013083688660109918,-0.007406028785248039,0.01009746943096445,0.0,0.0,0.0,0.0,0.011240638893917753
deform_0910,11915,448.1186905142347,0.9998126617844824,843.6229029871804,15.242879690386575,0.9981109529891897,16.901195739328863,35.03337467950814,1.2778172444321516,1.010433613470489,0.9869252978255613,1.0,1.0,1.0091911808040583,1.0,0.9869252978255613,1,0.9783703029509103,0.9717229288404233,0.0194263239782822,-0.006584265648168785,0.026275757479022874,-0.00729035369518872,-0.015645424787531587,8.0,-0.5948035183510609,0.009189834425660993,0.009430931680053087
deform_0911,11915,448.1902258968863,0.9999722667794416,843.628254989661,15.240543469634426,0.9912687124545254,17.09949029960552,35.16717474152438,1.2757029877564379,1.0094206696773402,0.993868929180012,1.0,1.0,1.0177877802579502,0.993868929180012,1.0,1,1.0144189883244934,1.0074141852902219,-0.013285571847778116,0.012320848695662849,-0.0013722482283825554,0.0036506986581172005,0.0,0.0,0.0,0.0,0.008931971449639451
deform_0912,11915,447.2832899338746,0.9979487714902666,843.660620806237,15.27203191511683,0.9911845172720077,17.15996500057852,35.976320155925805,1.276544260653612,1.0101198215437246,0.9935572554261581,1.0,1.0,1.0348929335188428,1.0,0.9935572554261581,1,1.0177223017688601,0.9756973527745321,0.0213553170873027,0.0029538477391993292,0.02110582467210074,0.012874758485073554,0.007021002431207884,4.0,0.6920459197454476,-0.01147403938333899,0.0038253422195849464
