sectors,annuli,sigma_theta,sigma_z_fraction,strategy,group_count,objective,intercept_fraction_proxy,spillage_proxy,peak_flux_proxy,mean_active_flux_proxy,peak_to_mean_proxy,cv_active_proxy,layout_id,peak_to_mean_proxy_baseline,cv_active_proxy_baseline,intercept_fraction_proxy_baseline,delta_peak_to_mean_pct,delta_cv_pct,delta_intercept_pctpt
60,6,0.035,0.065,staggered_levels:7:0.340:1,335,1.6737132866080722,0.997494712221512,0.002505287778488019,8.138335389321753,5.451638336459819,1.492823787464709,0.18923199637112836,baseline_full,1.492823787464709,0.18923199637112836,0.997494712221512,0.0,0.0,0.0
60,6,0.035,0.08,staggered_levels:7:0.340:1,335,1.749073173668464,0.9921771208821034,0.007822879117896586,8.021900132493096,5.282777245856093,1.5185005460500196,0.19763481726502555,baseline_full,1.5185005460500196,0.19763481726502555,0.9921771208821034,0.0,0.0,0.0
60,6,0.042,0.055,staggered_levels:7:0.340:1,335,1.567014653320324,0.9993034401086358,0.0006965598913641902,7.822262069516898,5.504392912573858,1.4210944229014353,0.16511500151526476,baseline_full,1.4210944229014353,0.16511500151526476,0.9993034401086358,0.0,0.0,0.0
60,6,0.042,0.065,staggered_levels:7:0.340:1,335,1.5911767147858917,0.9974947122215121,0.002505287778487908,7.678637302191806,5.3894273875452345,1.424759394650506,0.1722059034205677,baseline_full,1.424759394650506,0.1722059034205677,0.9974947122215121,0.0,0.0,0.0
60,6,0.042,0.08,staggered_levels:7:0.340:1,335,1.66361161694911,0.9921771208821034,0.007822879117896586,7.567311358359993,5.228703007615629,1.4472635656181219,0.18090002163272392,baseline_full,1.4472635656181219,0.18090002163272392,0.9921771208821034,0.0,0.0,0.0
60,8,0.03,0.055,staggered_levels:9:0.380:0,435,1.698048298038907,0.9958429210303494,0.004157078969650563,7.975632667416109,5.281498210800499,1.5101079938086865,0.18198079114472454,baseline_full,1.5101079938086865,0.18198079114472454,0.9958429210303494,0.0,0.0,0.0
60,8,0.03,0.065,staggered_levels:9:0.380:0,435,1.7470858947513042,0.991126622511624,0.008873377488376022,7.868339475935627,5.188167108413549,1.516593300006797,0.1876536174558811,baseline_full,1.516593300006797,0.1876536174558811,0.991126622511624,0.0,0.0,0.0
60,8,0.03,0.08,staggered_levels:9:0.340:3,435,1.8161124322664963,0.9934626709172729,0.006537329082727084,8.431978177142398,5.344590334294504,1.5776659481339712,0.2189974723184804,baseline_full,1.5776659481339712,0.2189974723184804,0.9934626709172729,0.0,0.0,0.0
60,8,0.035,0.055,staggered_levels:9:0.380:8,435,1.634390657405377,0.9958414715540144,0.004158528445985632,7.620697981288889,5.20085424450799,1.4652781299026425,0.1598168234527642,baseline_full,1.4652781299026425,0.1598168234527642,0.9958414715540144,0.0,0.0,0.0
60,8,0.035,0.065,staggered_levels:9:0.380:0,435,1.682047287231965,0.991126622511624,0.008873377488376022,7.520142488788489,5.118572617041359,1.4691874183344666,0.16690923410645903,baseline_full,1.4691874183344666,0.16690923410645903,0.991126622511624,0.0,0.0,0.0
60,8,0.035,0.08,staggered_levels:9:0.340:3,435,1.7474918178870769,0.9934626709172729,0.006537329082727084,8.075015832190173,5.292057482602466,1.525874550444062,0.19919839386023305,baseline_full,1.525874550444062,0.19919839386023305,0.9934626709172729,0.0,0.0,0.0
60,8,0.042,0.055,staggered_levels:9:0.380:2,435,1.550264615553724,0.9957237250654994,0.004276274934500557,7.1694545085715315,5.142809917366308,1.394073400294579,0.14350707739193017,baseline_full,1.394073400294579,0.14350707739193017,0.9957237250654994,0.0,0.0,0.0
60,8,0.042,0.065,staggered_levels:9:0.380:3,435,1.5987036445111975,0.9907656216791929,0.00923437832080709,7.060443052437579,5.0531366415669625,1.3972396856159734,0.15010462626913795,baseline_full,1.3972396856159734,0.15010462626913795,0.9907656216791929,0.0,0.0,0.0
60,8,0.042,0.08,staggered_levels:9:0.340:0,435,1.669627956088221,0.9937143785212809,0.006285621478719139,7.7244331221247915,5.271774053084954,1.465243586758917,0.18129340882300088,baseline_full,1.465243586758917,0.18129340882300088,0.9937143785212809,0.0,0.0,0.0
60,10,0.03,0.055,staggered_levels:11:0.380:10,544,1.6551658678959953,0.9966146979721913,0.0033853020278087342,7.780433846759058,5.2792390458542044,1.47377941767366,0.18153415764690053,baseline_full,1.47377941767366,0.18153415764690053,0.9966146979721913,0.0,0.0,0.0
60,10,0.03,0.065,staggered_levels:11:0.380:10,544,1.699408890988081,0.9926514482905298,0.007348551709470241,7.681666950522817,5.184899875298324,1.4815458611109313,0.18714660729575017,baseline_full,1.4815458611109313,0.18714660729575017,0.9926514482905298,0.0,0.0,0.0
60,10,0.03,0.08,staggered_levels:11:0.340:10,544,1.7803202565627698,0.9946652974246493,0.005334702575350736,8.3633979737901,5.379035363229612,1.5548137182665138,0.21509284434523548,baseline_full,1.5548137182665138,0.21509284434523548,0.9946652974246493,0.0,0.0,0.0
